** Analysing add(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,1
small-town.txt,44892,1000,1
town.txt,451617,10000,10
large-town.txt,2255053,50000,48
city.txt,4511688,100000,80
large-city.txt,22554540,500000,737
metropolis.txt,45107513,1000000,1497
capital.txt,90209834,2000000,3558
megalopolis.txt,227564229,5000000,13028
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,1
town.txt,451617,10000,15
large-town.txt,2255053,50000,48
city.txt,4511688,100000,194
large-city.txt,22554540,500000,1444
metropolis.txt,45107513,1000000,1974
capital.txt,90209834,2000000,3982
megalopolis.txt,227564229,5000000,6446
