** Analysing toSortedArray() speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,0
small-town.txt,44892,1000,6
town.txt,451617,10000,20
large-town.txt,2255053,50000,167
city.txt,4511688,100000,283
large-city.txt,22554540,500000,1790
metropolis.txt,45107513,1000000,4353
capital.txt,90209834,2000000,10146
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,1
town.txt,451617,10000,20
large-town.txt,2255053,50000,124
city.txt,4511688,100000,295
large-city.txt,22554540,500000,1659
metropolis.txt,45107513,1000000,4291
capital.txt,90209834,2000000,10629
